Date,Open,High,Low,Close,Adj Close,Volume,monthly returns,mr%,,,
01-10-2006,1335.819946,1389.449951,1327.099976,1377.939941,1377.939941,56793620000,42.119995,3.056736636,,,1.632836289
01-11-2006,1377.76001,1407.890015,1360.97998,1400.630005,1400.630005,55343930000,22.869995,1.632836289,,,1.698298243
01-12-2006,1400.630005,1431.810059,1385.930054,1418.300049,1418.300049,47578780000,17.670044,1.245860776,,,1.714480236
01-01-2007,1418.030029,1441.609985,1403.969971,1438.23999,1438.23999,56686200000,20.209961,1.405186974,,,1.726801707
01-02-2007,1437.900024,1461.569946,1389.420044,1406.819946,1406.819946,51844990000,-31.080078,-2.209243485,,,1.751087842
01-03-2007,1406.800049,1438.890015,1363.97998,1420.859985,1420.859985,67622250000,14.059936,0.989537051,,,1.755936134
01-04-2007,1420.829956,1498.02002,1416.369995,1482.369995,1482.369995,57032470000,61.540039,4.151462807,,,1.767111304
01-05-2007,1482.369995,1535.560059,1476.699951,1530.619995,1530.619995,64958050000,48.25,3.152317372,,,1.773466761
01-06-2007,1530.619995,1540.560059,1484.180054,1503.349976,1503.349976,65322800000,-27.270019,-1.81395014,,,1.777067231
01-07-2007,1504.660034,1555.900024,1454.25,1455.27002,1455.27002,70337430000,-49.390014,-3.393872843,,,1.777735708
01-08-2007,1455.180054,1503.890015,1370.599976,1473.98999,1473.98999,91381760000,18.809936,1.276123727,,,1.783793626
01-09-2007,1473.959961,1538.73999,1439.290039,1526.75,1526.75,57809700000,52.790039,3.457674079,,,1.835412527
01-10-2007,1527.290039,1576.089966,1489.560059,1549.380005,1549.380005,76022580000,22.089966,1.425729384,,,1.846650744
01-11-2007,1545.790039,1545.790039,1406.099976,1481.140015,1481.140015,86246950000,-64.650024,-4.364882681,,,1.85488363
01-12-2007,1479.630005,1523.569946,1435.650024,1468.359985,1468.359985,64821670000,-11.27002,-0.767524321,,,1.855263912
01-01-2008,1467.969971,1471.77002,1270.050049,1378.550049,1378.550049,98475340000,-89.419922,-6.486519809,,,1.870530082
01-02-2008,1378.599976,1396.02002,1316.75,1330.630005,1330.630005,78536130000,-47.969971,-3.605057065,,,1.884350902
01-03-2008,1330.449951,1359.680054,1256.97998,1322.699951,1322.699951,93189170000,-7.75,-0.585922756,,,1.902399215
01-04-2008,1326.410034,1404.569946,1324.349976,1385.589966,1385.589966,85978630000,59.179932,4.271099925,,,1.91357163
